album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
24K Magic,1,6b8Be6ljOzmkOmFslEb23P,24K Magic,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.034,0.818,0.8029999999999999,0.0,0.153,-4.282,0.0797,106.97,0.632,77,Bruno Mars
24K Magic,2,0mBKv9DkYfQHjdMcw2jdyI,Chunky,spotify:track:0mBKv9DkYfQHjdMcw2jdyI,0.0208,0.5710000000000001,0.539,0.0,0.125,-4.4460000000000015,0.116,202.103,0.727,69,Bruno Mars
24K Magic,3,1I6pKIyaBp4OebTGLJpCCC,Perm,spotify:track:1I6pKIyaBp4OebTGLJpCCC,0.0145,0.853,0.871,6.840000000000001e-05,0.198,-3.715,0.0851,124.021,0.863,66,Bruno Mars
24K Magic,4,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,0.86,81,Bruno Mars
24K Magic,5,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,0.196,0.578,0.574,0.0,0.083,-6.209,0.0454,174.15200000000004,0.301,73,Bruno Mars
24K Magic,6,2mrZYZGmPFV3QOyYPZ1zsn,Straight up & Down,spotify:track:2mrZYZGmPFV3QOyYPZ1zsn,0.0209,0.552,0.733,0.0,0.0858,-6.898,0.0933,143.56,0.643,63,Bruno Mars
24K Magic,7,6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,spotify:track:6ObpR8ek44tvWefQRcSo8K,0.0392,0.662,0.705,2.38e-06,0.105,-6.56,0.0399,159.996,0.865,63,Bruno Mars
24K Magic,8,5XMkENs3GfeRza8MfVAhjK,Finesse,spotify:track:5XMkENs3GfeRza8MfVAhjK,0.007809999999999998,0.741,0.7979999999999999,0.0,0.0232,-5.3420000000000005,0.0718,104.953,0.939,67,Bruno Mars
24K Magic,9,0B0tYbVp7pDQAqKDhgMeaL,Too Good to Say Goodbye,spotify:track:0B0tYbVp7pDQAqKDhgMeaL,0.0389,0.5870000000000001,0.63,0.0,0.35,-6.0539999999999985,0.0311,76.97,0.433,64,Bruno Mars
Unorthodox Jukebox (Deluxe Edition),1,5Pr2AFUNbDMo73grOJDWvy,Young Girls,spotify:track:5Pr2AFUNbDMo73grOJDWvy,0.461,0.561,0.7490000000000001,1.82e-06,0.205,-4.9510000000000005,0.032,125.986,0.501,21,Bruno Mars
Unorthodox Jukebox (Deluxe Edition),2,2VoO0foG09SUeuat3wYLNG,Locked out of Heaven,spotify:track:2VoO0foG09SUeuat3wYLNG,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867,23,Bruno Mars
Unorthodox Jukebox (Deluxe Edition),3,13dX0sTiBQabys1vYMjmIk,Gorilla,spotify:track:13dX0sTiBQabys1vYMjmIk,0.445,0.7170000000000001,0.544,5.16e-06,0.0973,-6.598,0.0371,139.959,0.6409999999999999,19,Bruno Mars
